"","Name","Age","Since","Current.Position","company_code","company_name"
"1806","Samantha Hoe-Richardson",45,2013,"Non-Executive Independent Director","LRE","LANCASHIRE"
"1807","Robert Lusardi",59,2016,"Non-Executive Independent Director","LRE","LANCASHIRE"
"1808","Sally Williams",NA,2019,"Non-Executive Independent Director","LRE","LANCASHIRE"
"1809","Jelena Bjelanovic",NA,2019,"IR Contact Officer","LRE","LANCASHIRE"
"1810","Cressida Hogg",48,2018,"Non-Executive Chairman of the Board","LAND","LAND SECS."
"1811","Robert Noel",53,2012,"Chief Executive, Executive Director","LAND","LAND SECS."
"1812","Martin Greenslade",51,2005,"Chief Financial Officer, Executive Director","LAND","LAND SECS."
"1813","Timothy Ashby",NA,2015,"Group General Counsel, Company Secretary","LAND","LAND SECS."
"1814","Colette O'Shea",48,2018,"Managing Director - London Portfolio, Director","LAND","LAND SECS."
"1815","Jill Brady",NA,2019,"Group Human Resources Director","LAND","LAND SECS."
"1816","Miles Webber",47,2015,"Director of Corporate Affairs and Sustainability","LAND","LAND SECS."
"1817","Christopher Bartram",68,2010,"Independent Non-Executive Director","LAND","LAND SECS."
"1818","Edward Bonham Carter",NA,2016,"Senior Independent Non-Executive Director","LAND","LAND SECS."
"1819","Nicholas Cadbury",52,2017,"Independent Non-Executive Director","LAND","LAND SECS."
"1820","Madeleine Cosgrave",NA,2019,"Non-Executive Independent Director","LAND","LAND SECS."
"1821","Christophe Evain",NA,2019,"Independent Non-Executive Director","LAND","LAND SECS."
"1822","Stacey Rauch",61,2012,"Non-Executive Independent Director","LAND","LAND SECS."
"1823","Edward Thacker",NA,NA,"Head of Investor Relations - equity","LAND","LAND SECS."
"1824","Robert Hingley",NA,2018,"Non-Executive Independent Chairman of the Board","LWDB","LAW.DEB.CORP"
"1825","Denis Jackson",51,2018,"Chief Executive Officer, Executive Director","LWDB","LAW.DEB.CORP"
"1826","Katie Thorpe",NA,2019,"Chief Financial Officer, Executive Director","LWDB","LAW.DEB.CORP"
"1827","Tim Bond",NA,2015,"Non-Executive Independent Director","LWDB","LAW.DEB.CORP"
"1828","Mark Bridgeman",NA,2013,"Non-Executive Independent Director","LWDB","LAW.DEB.CORP"
"1829","Robert Laing",NA,2012,"Non-Executive Independent Director","LWDB","LAW.DEB.CORP"
"1830","John Kingman",NA,2016,"Non-Executive Independent Chairman of the Board","LGEN","LEGAL&GEN."
"1831","Nigel Wilson",61,2012,"Group Chief Executive, Executive Director","LGEN","LEGAL&GEN."
"1832","Stuart Davies",46,2017,"Group Chief Financial Officer, Executive Director","LGEN","LEGAL&GEN."
"1833","Mark Zinkula",50,2012,"Chief Executive Officer - Legal and General Investment Management, Executive Director","LGEN","LEGAL&GEN."
"1834","Cheryl Agius",NA,NA,"Chief Executive Officer - General Insurance","LGEN","LEGAL&GEN."
"1835","Bernard Hickman",NA,NA,"Chief Executive Officer - Legal & General Insurance","LGEN","LEGAL&GEN."
"1836","Chris Knight",NA,2017,"Chief Executive Officer - Legal & General Retirement, Retail","LGEN","LEGAL&GEN."
"1837","Laura Mason",NA,2018,"Chief Executive Officer - Legal & General Retirement, Institutional","LGEN","LEGAL&GEN."
"1838","Jackie Noakes",NA,NA,"Chief Executive Officer - Mature Savings","LGEN","LEGAL&GEN."
"1839","Simon Gadd",NA,NA,"Group Chief Risk Officer","LGEN","LEGAL&GEN."
"1840","Geoffrey Timms",NA,2010,"Group General Counsel, Company Secretary","LGEN","LEGAL&GEN."
"1841","Kerrigan Procter",48,2017,"Chief Executive Officer - Legal & General Capital, Executive Director","LGEN","LEGAL&GEN."
"1842","Michelle Scrimgeour",NA,2019,"Executive Director, Chief Executive Officer of Legal and General Investment Management","LGEN","LEGAL&GEN."
"1843","Emma Hardaker-Jones",NA,NA,"Group Human Resources Director","LGEN","LEGAL&GEN."
"1844","John Godfrey",NA,NA,"Group Corporate Affairs Director","LGEN","LEGAL&GEN."
"1845","Stephen Licence",NA,NA,"Group Chief Internal Auditor","LGEN","LEGAL&GEN."
"1846","Paul Miller",NA,NA,"Group Strategy and M&A Director","LGEN","LEGAL&GEN."
"1847","Lesley Knox",65,2018,"Non-Executive Director","LGEN","LEGAL&GEN."
"1848","Henrietta Baldock",NA,2018,"Non-Executive Independent Director","LGEN","LEGAL&GEN."
"1849","Philip Broadley",NA,2016,"Independent Non-Executive Director","LGEN","LEGAL&GEN."
"1850","George Lewis",NA,2018,"Non-Executive Independent Director","LGEN","LEGAL&GEN."
"1851","Toby Strauss",NA,2017,"Non-Executive Independent Director","LGEN","LEGAL&GEN."
"1852","Julia Wilson",NA,2016,"Senior Independent Non-Executive Director","LGEN","LEGAL&GEN."
"1853","Laura Doyle",NA,2014,"Head of Investor Relations","LGEN","LEGAL&GEN."
"1854","Norman Blackwell",NA,2014,"Non-Executive Chairman of the Board","LLOY","LLOYDS GRP."
"1855","Antonio Horta-Osorio",55,2012,"Group Chief Executive, Executive Director","LLOY","LLOYDS GRP."
"1856","Anita Frew",NA,2017,"Non-Executive Deputy Chairman of the Board, Senior Independent Director","LLOY","LLOYDS GRP."
"1857","William Chalmers",NA,2019,"Chief Financial Officer, Executive Director","LLOY","LLOYDS GRP."
"1858","Antonio Lorenzo",NA,2015,"Chief Executive, Scottish Widows and Group Director, Insurance","LLOY","LLOYDS GRP."
"1859","Juan Colombas",NA,2017,"Chief Operating Officer, Executive Director","LLOY","LLOYDS GRP."
"1860","John Chambers",NA,2018,"Group Chief Information Officer","LLOY","LLOYDS GRP."
"1861","Kate Cheetham",NA,2019,"Group General Counsel, Group Company Secretary","LLOY","LLOYDS GRP."
"1862","Carla Antunes Da Silva",NA,2018,"Group Strategy, Corporate Ventures and Investor Relations Director","LLOY","LLOYDS GRP."
"1863","Paul Day",NA,NA,"Chief Internal Auditor","LLOY","LLOYDS GRP."
"1864","Vim Maru",NA,2017,"Group Director, Retail","LLOY","LLOYDS GRP."
"1865","Zaka Mian",NA,NA,"Group Director - Digital and Transformation","LLOY","LLOYDS GRP."
"1866","David Oldfield",NA,2017,"Group Director, Commercial Banking","LLOY","LLOYDS GRP."
"1867","Jakob Pfaudler",NA,2017,"Group Director, Community Banking","LLOY","LLOYDS GRP."
"1868","Janet Pope",57,NA,"Chief of Staff & Group Corporate Affairs Director","LLOY","LLOYDS GRP."
"1869","Stephen Shelley",NA,2017,"Group Chief Risk Officer","LLOY","LLOYDS GRP."
"1870","Jennifer Tippin",NA,2017,"People & Productivity Director","LLOY","LLOYDS GRP."
"1871","Andrew Walton",NA,2018,"Group Corporate Affairs Director","LLOY","LLOYDS GRP."
"1872","Alan Dickinson",NA,2014,"Non-Executive Independent Director","LLOY","LLOYDS GRP."
"1873","Simon Henry",58,2014,"Non-Executive Independent Director","LLOY","LLOYDS GRP."
"1874","James Lupton",NA,2017,"Non-Executive Independent Director","LLOY","LLOYDS GRP."
"1875","Amanda Mackenzie",55,2018,"Non-Executive Independent Director","LLOY","LLOYDS GRP."
"1876","Nicholas Prettejohn",NA,2014,"Non-Executive Independent Director","LLOY","LLOYDS GRP."
"1877","Stuart Sinclair",64,2016,"Non-Executive Independent Director","LLOY","LLOYDS GRP."
"1878","Sara Weller",NA,2012,"Non-Executive Independent Director","LLOY","LLOYDS GRP."
"1879","Douglas Radcliffe",NA,2014,"Group Investor Relations Director","LLOY","LLOYDS GRP."
"1880","Donald Robert",NA,2019,"Independent Non-Executive Chairman of the Board","LSE","LON.STK.EXCH"
"1881","David Schwimmer",NA,2018,"Chief Executive Officer, Director","LSE","LON.STK.EXCH"
"1882","David Warren",NA,2018,"Group Chief Financial Officer, Executive Director","LSE","LON.STK.EXCH"
"1883","Daniel Maguire",NA,2017,"Chief Executive Officer of LCH Group","LSE","LON.STK.EXCH"
"1884","Nikhil Rathi",NA,2015,"Chief Executive Officer - London Stock Exchange plc and Director of International Development","LSE","LON.STK.EXCH"
"1885","Waqas Samad",NA,2019,"Group Director of Information Services and Chief Executive Officer of FTSE Russell","LSE","LON.STK.EXCH"
"1886","Christopher Corrado",NA,2015,"Group Chief Operating Officer and Chief Information Officer","LSE","LON.STK.EXCH"
"1887","Diane Cote",NA,2013,"Group Chief Risk Officer","LSE","LON.STK.EXCH"
"1888","Catherine Johnson",NA,2016,"Global General Counsel","LSE","LON.STK.EXCH"
"1889","Raffaele Jerusalmi",NA,2010,"Executive Director, Chief Executive Officer of Borsa Italiana and Director of Capital Markets","LSE","LON.STK.EXCH"
"1890","Lisa Condron",NA,NA,"Group Company Secretary","LSE","LON.STK.EXCH"
"1891","Jacques Aigrain",64,2015,"Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1892","Marshall Bailey",NA,2018,"Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1893","Kathleen DeRose",NA,2018,"Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1894","Paul Heiden",NA,2015,"Senior Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1895","Cressida Hogg",48,2019,"Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1896","Stephen O'Connor",NA,2015,"Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1897","Valerie Rahmani",NA,2017,"Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1898","Andrea Sironi",NA,2016,"Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1899","Ruth Wandhofer",NA,2018,"Non-Executive Independent Director","LSE","LON.STK.EXCH"
"1900","Ian Livingston",54,2016,"Non-Executive Chairman of the Board","EMG","MAN GROUP"
"1901","Jonathan Sorrell",NA,2017,"President, Executive Director","EMG","MAN GROUP"
"1902","Luke Ellis",NA,2016,"Chief Executive Officer, Executive Director","EMG","MAN GROUP"
"1903","Mark Jones",NA,2017,"Chief Financial Officer, Executive Director","EMG","MAN GROUP"
"1904","Robyn Grew",NA,2017,"Chief Administrative Officer, General Counsel","EMG","MAN GROUP"
"1905","Sandy Rattray",NA,2017,"Chief Investment Officer","EMG","MAN GROUP"
"1906","Rachel Rowson",NA,2009,"Company Secretary","EMG","MAN GROUP"
"1907","Dame Barker",61,2017,"Non-Executive Independent Director","EMG","MAN GROUP"
"1908","Richard Berliand",57,2017,"Senior Independent Non-Executive Director","EMG","MAN GROUP"
"1909","Zoe Cruz",62,2018,"Non-Executive Independent Director","EMG","MAN GROUP"
"1910","John Cryan",58,2015,"Non-Executive Independent Director","EMG","MAN GROUP"
"1911","David Horton",NA,2013,"Non-Executive Independent Director","EMG","MAN GROUP"
"1912","Matthew Lester",NA,2011,"Non-Executive Independent Director","EMG","MAN GROUP"
"1913","Dev Sanyal",53,2013,"Independent Non-Executive Director","EMG","MAN GROUP"
"1914","Fiona Smart",NA,2017,"Head of Investor Relations","EMG","MAN GROUP"
"1915","Archie Norman",64,2017,"Non-Executive Chairman of the Board","MKS","MARKS & SP."
"1916","Steve Rowe",NA,2016,"Chief Executive, Executive Director - General Merchandise","MKS","MARKS & SP."
"1917","Humphrey Singer",NA,2018,"Chief Financial Officer, Director","MKS","MARKS & SP."
"1918","Amanda Mellor",53,2009,"Group Secretary, Head of Corporate Governance","MKS","MARKS & SP."
"1919","Katie Bickerstaffe",NA,2018,"Non-Executive Director","MKS","MARKS & SP."
"1920","Justin King",53,2019,"Non-Executive Director","MKS","MARKS & SP."
"1921","Pip McCrostie",NA,2018,"Non-Executive Director","MKS","MARKS & SP."
"1922","Alison Brittain",53,2014,"Non-Executive Independent Director","MKS","MARKS & SP."
"1923","Andrew Fisher",NA,2015,"Non-Executive Independent Director","MKS","MARKS & SP."
"1924","Andrew Halford",59,2018,"Senior Non-Executive Independent Director","MKS","MARKS & SP."
"1925","Vanda Murray",58,2018,"Non-Executive Chairman of the Board","MSLH","MARSHALLS"
"1926","Martyn Coffey",56,2018,"Chief Executive Officer","MSLH","MARSHALLS"
"1927","Jack Clarke",NA,2014,"Finance Director, Executive Director","MSLH","MARSHALLS"
"1928","Cathy Baxandall",NA,2008,"Group Company Secretary","MSLH","MARSHALLS"
"1929","Graham Prothero",56,2017,"Non-Executive Director","MSLH","MARSHALLS"
"1930","Tim Pile",NA,2010,"Non-Executive Independent Director","MSLH","MARSHALLS"
"1931","William Rucker",55,2018,"Independent Chairman of the Board","MARS","MARSTON'S"
"1932","Ralph Findlay",58,2001,"Chief Executive Officer, Executive Director","MARS","MARSTON'S"
"1933","Andrew Andrea",NA,2016,"Chief Financial Officer and Corporate Development Officer, Executive Director","MARS","MARSTON'S"
"1934","Anne-Marie Brennan",NA,2004,"Group Secretary","MARS","MARSTON'S"
"1935","Carolyn Bradley",NA,2018,"Senior Non-Executive Independent Director","MARS","MARSTON'S"
"1936","Catherine Glickman",NA,2014,"Independent Non-Executive Director","MARS","MARSTON'S"
"1937","Matthew Roberts",NA,2017,"Non-Executive Independent Director","MARS","MARSTON'S"
"1938","Robin Rowland",NA,NA,"","MARS","MARSTON'S"
"1939","Paul Lester",68,2018,"Group Non-Executive Independent Chairman of the Board","MCS","MCCARTHY"
"1940","John Tonkiss",47,2019,"Chief Executive Officer, Executive Director","MCS","MCCARTHY"
"1941","Rowan Baker",NA,2017,"Chief Financial Officer, Executive Director","MCS","MCCARTHY"
"1942","Mike Lloyd",40,2019,"Chief Operating Officer, Director","MCS","MCCARTHY"
"1943","Nigel Turner",NA,2019,"Chief Operating Officer, Director","MCS","MCCARTHY"
"1944","Patrick Hole",NA,2014,"Group General Counsel, Company Secretary","MCS","MCCARTHY"
"1945","Gill Barr",NA,2019,"Non-Executive Director","MCS","MCCARTHY"
"1946","Arun Nagwaney",NA,2018,"Non-Executive Director","MCS","MCCARTHY"
"1947","John Carter",NA,2017,"Independent Non-Executive Director","MCS","MCCARTHY"
"1948","Geeta Nanda",NA,2015,"Independent Non-Executive Director","MCS","MCCARTHY"
"1949","Frank Nelson",66,2013,"Senior Independent Non-Executive Director","MCS","MCCARTHY"
"1950","Michael Parsons",NA,2013,"Independent Non-Executive Director","MCS","MCCARTHY"
"1951","Marina Calero",NA,NA,"Investor Relations Director","MCS","MCCARTHY"
"1952","Anthony Rudd",71,2015,"Non-Executive Chairman of the Board","MGGT","MEGGITT"
"1953","Antony Wood",NA,2018,"Chief Executive Officer, Chief Operating Officer, Executive Director","MGGT","MEGGITT"
"1954","Louisa Burdett",NA,2019,"Chief Financial Officer, Executive Director","MGGT","MEGGITT"
"1955","Philip Green",NA,2015,"Executive Director, Commercial and Corporate Affairs","MGGT","MEGGITT"
"1956","Marina Thomas",NA,2012,"Group Company Secretary","MGGT","MEGGITT"
"1957","Guy Hachey",63,2019,"Director","MGGT","MEGGITT"
"1958","Caroline Silver",NA,2019,"Non-Executive Director","MGGT","MEGGITT"
"1959","Guy Berruyer",NA,2018,"Senior Non-Executive Independent Director","MGGT","MEGGITT"
"1960","Colin Day",63,2015,"Non-Executive Independent Director","MGGT","MEGGITT"
"1961","Nancy Gioia",57,2017,"Non-Executive Independent Director","MGGT","MEGGITT"
"1962","Alison Goligher",NA,2017,"Non-Executive Independent Director","MGGT","MEGGITT"
"1963","John Sunderland",72,2017,"Non-Executive Chairman of the Board","MERL","MERLIN"
"1964","Nick Varney",NA,NA,"Chief Executive Officer, Executive Director","MERL","MERLIN"
"1965","Anne-Francoise Nesmes",NA,2016,"Chief Financial Officer, Executive Director","MERL","MERLIN"
"1966","Matthew Jowett",NA,NA,"General Counsel, Company Secretary","MERL","MERLIN"
"1967","Andrew Fisher",NA,2018,"Non-Executive Director","MERL","MERLIN"
"1968","Soren Soerensen",NA,2013,"Non-Executive Director","MERL","MERLIN"
"1969","Yun Chiang",50,2016,"Independent Non-Executive Director","MERL","MERLIN"
"1970","Charles Gurassa",NA,2013,"Senior Independent Non-Executive Director","MERL","MERLIN"
"1971","Fru Hazlitt",52,2014,"Independent Non-Executive Director","MERL","MERLIN"
"1972","Trudy Rautio",67,2015,"Independent Non-Executive Director","MERL","MERLIN"
"1973","Simon Whittington",NA,2017,"Head of Investor Relations","MERL","MERLIN"
"1974","Vernon Hill",NA,2008,"Non-Executive Chairman of the Board","MTRO","METRO BK"
"1975","Craig Donaldson",NA,NA,"Chief Executive Officer, Executive Director","MTRO","METRO BK"
"1976","David Arden",NA,2018,"Chief Financial Officer, Company Secretary and Director","MTRO","METRO BK"
"1977","Aileen Gillan",NA,NA,"Chief Risk Officer","MTRO","METRO BK"
"1978","Danielle Harmer",NA,NA,"Chief People Officer","MTRO","METRO BK"
"1979","Stuart Bernau",67,2010,"Non-Executive Independent Director","MTRO","METRO BK"
"1980","Catherine Brown",NA,2018,"Non-Executive Independent Director","MTRO","METRO BK"
"1981","Roger Farah",66,2014,"Non-Executive Independent Director","MTRO","METRO BK"
"1982","Alastair Gunn",NA,2010,"Senior Independent Non-Executive Director","MTRO","METRO BK"
"1983","Harry Lockhart",NA,2010,"Non-Executive Independent Director","MTRO","METRO BK"
"1984","Anna Melis",NA,2017,"Non-Executive Independent Director","MTRO","METRO BK"
"1985","Michael Snyder",NA,2015,"Non-Executive Independent Director","MTRO","METRO BK"
"1986","Paul Thandi",NA,2019,"Non-Executive Independent Director","MTRO","METRO BK"
"1987","Kevin Loosemore",60,2011,"Executive Chairman of the Board","MCRO","MICRO FOCUS"
"1988","Stephen Murdoch",52,2018,"Chief Executive Officer, Executive Director","MCRO","MICRO FOCUS"
"1989","Brian McArthur-Muscroft",NA,2019,"Chief Financial Officer, Director","MCRO","MICRO FOCUS"
"1990","Ian Fraser",NA,2018,"Chief Human Resource Officer","MCRO","MICRO FOCUS"
"1991","Jonathan Hunter",45,2018,"Chief Revenue Officer","MCRO","MICRO FOCUS"
"1992","Jane Smithard",NA,NA,"Company Secretary","MCRO","MICRO FOCUS"
"1993","Lawton Fitt",65,2017,"Non-Executive Director","MCRO","MICRO FOCUS"
"1994","Richard Atkins",66,2014,"Non-Executive Independent Director","MCRO","MICRO FOCUS"
"1995","Amanda Brown",50,2016,"Independent Non-Executive Director","MCRO","MICRO FOCUS"
"1996","Darren Roos",45,2017,"Independent Non-Executive Director","MCRO","MICRO FOCUS"
"1997","Silke Scheiber",46,2017,"Independent Non-Executive Director","MCRO","MICRO FOCUS"
"1998","Karen Slatford",62,2010,"Senior Non-Executive Independent Director","MCRO","MICRO FOCUS"
"1999","Leng Beng Kwek",77,NA,"Non-Executive Chairman of the Board","MLC","MILLENNIUM &COP"
"2000","Tan Seng",NA,2018,"Interim Group Chief Executive Officer, Chief of Staff","MLC","MILLENNIUM &COP"
